"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Account\Navigation.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 1, 19
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Account\Profile\page.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 1, 62
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Account\Signin\page.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 1, 49
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Account\Signup\page.tsx", "TypeScript JSX", 0, 20, 0, 0, 13, 2, 35
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Account\layout.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 1, 20
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Account\page.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 2, 13
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Account\reducer.ts", "TypeScript", 15, 0, 0, 0, 0, 3, 18
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Calendar\page.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 1, 7
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\Assignments\AssignmentControlButtons.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 1, 15
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\Assignments\AssignmentIcon.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 1, 11
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\Assignments\AssignmentsControls.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 1, 23
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\Assignments\[aid]\AssignmentEditor.tsx", "TypeScript JSX", 0, 171, 0, 0, 4, 15, 190
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\Assignments\[aid]\Editor.tsx", "TypeScript JSX", 0, 91, 0, 0, 0, 4, 95
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\Assignments\[aid]\page.tsx", "TypeScript JSX", 0, 182, 0, 0, 203, 30, 415
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\Assignments\page.tsx", "TypeScript JSX", 0, 62, 0, 0, 0, 5, 67
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\Assignments\reducer.ts", "TypeScript", 38, 0, 0, 0, 0, 7, 45
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Courses\[cid]\Assignments\style.css", "PostCSS", 0, 0, 17, 0, 0, 2, 19
